,Unnamed: 0,id,EVENTMSGTYPE,x,y,z,game_clock,rankc
12432,546671,0021500385_53,2,8.029910000000001,25.49419,9.311860000000001,180.36,49
12433,546714,0021500385_60,2,5.323869999999999,17.4731,9.010489999999999,95.22,43
12434,546748,0021500385_77,2,6.19423,25.72549,9.37497,611.09,34
12435,546826,0021500385_80,2,29.76932,18.81511,8.95932,571.57,78
12436,546865,0021500385_88,1,5.93405,21.839560000000002,9.04112,512.83,39
12437,546905,0021500385_89,1,5.24503,23.73556,9.07581,491.08,40
12438,546938,0021500385_95,1,4.92544,24.3855,9.223180000000001,437.71,33
12439,546990,0021500386_116,2,15.32882,30.81826,8.58227,155.8,52
12440,547019,0021500386_117,2,7.73155,25.91274,9.27881,152.12,29
12441,547069,0021500386_120,2,5.43743,30.13737,9.56286,93.99,50
12442,547124,0021500386_125,2,7.393730000000001,24.52766,9.11081,670.89,55
12443,547178,0021500386_129,2,10.01587,25.07687,9.41525,636.5,54
12444,547210,0021500386_137,1,4.9269300000000005,24.93134,9.150689999999999,550.24,32
12445,547243,0021500386_154,1,4.98884,25.06413,9.10765,360.78,33
12446,547276,0021500386_158,2,22.81281,18.76461,9.57369,322.1,33
12447,547322,0021500386_17,2,6.447690000000001,19.56956,9.094710000000001,505.41,46
12448,547353,0021500386_171,1,4.92692,24.73535,9.038089999999999,186.61,31
12449,547411,0021500386_177,2,8.41032,25.13423,9.16863,117.75,58
12450,547447,0021500386_183,2,5.79897,20.5397,9.17765,42.26,36
12451,547507,0021500386_197,2,9.80616,23.68348,9.21043,512.14,60
12452,547541,0021500386_2,1,4.79483,25.687920000000002,9.1174,679.13,34
12453,547588,0021500386_205,2,7.162539999999999,36.09748,8.90428,358.35,47
12454,547630,0021500386_206,1,6.04519,24.57856,9.04375,351.91,42
12455,547685,0021500386_224,2,8.490260000000001,23.17504,9.2599,63.94,55
12456,547718,0021500386_225,1,5.23907,24.41004,9.11646,54.14,33
12457,547765,0021500386_23,2,7.99567,22.35792,9.3896,474.78,47
12458,547808,0021500386_25,1,6.636760000000001,25.229329999999997,9.1272,450.06,43
12459,547850,0021500386_34,2,5.8009900000000005,29.700770000000002,9.22063,365.9,42
12460,547883,0021500386_46,1,4.97958,25.177889999999998,9.21088,224.09,33
12461,547934,0021500386_49,2,7.83827,27.349190000000004,9.06605,200.97,51
12462,547989,0021500386_57,2,5.81642,27.08853,9.10298,126.54,55
12463,548075,0021500386_65,2,12.74847,22.63905,9.14322,37.62,86
12464,548135,0021500386_70,2,19.45148,30.5343,8.28668,683.26,60
12465,548190,0021500386_81,2,8.36807,24.23167,9.06735,565.92,55
12466,548247,0021500386_84,2,16.394479999999998,32.245129999999996,8.97274,524.47,57
12467,548263,0021500386_95,2,25.914479999999998,28.846109999999996,8.70081,411.5,16
12468,548298,0021500386_98,1,5.29159,24.60584,9.23104,390.54,35
12469,548330,0021500387_102,2,5.81301,24.13157,9.468739999999999,321.29,32
12470,548390,0021500387_110,2,20.76122,32.51676,8.864939999999999,240.23,60
12471,548441,0021500387_130,2,6.07431,31.190609999999996,9.57342,12.05,51
12472,548473,0021500387_135,2,5.95521,23.085160000000002,9.00919,669.4,32
